file,artist,title,year,lyrics,mood
TRADXCF128EF357134.h5,Snow Patrol,Shut Your Eyes,2006,"Shut your eyes and think of somewhere
Somewhere cold and caked in snow
By the fire, we break the quiet
Learn to wear each other well

And when the worrying starts to hurt
And the world feels like graves of dirt
Just close your eyes until
You can imagine this place
You're our secret space at will

Shut your eyes, I spin the big chair
And you'll feel dizzy, light and free
And falling gently on the cushion
You can come and sing to me

And when the worrying starts to hurt
And the world feels like graves of dirt
Just close your eyes until
You can imagine this place
You're our secret space at will

Shut your eyes
Shut your eyes
Shut your eyes
Shut your eyes

Shut your eyes and sing to me
(Shut your eyes and sing to me)
Shut your eyes and sing to me
(Shut your eyes and sing to me)

Shut your eyes and sing to me
(Shut your eyes and sing to me)
Shut your eyes and sing to me
(Shut your eyes and sing to me)",happy
TRAWODX128F42AC413.h5,Peter Gallagher,Everytime It Rains,2005,"Every time it rains
I sit at home and wonder why
Ever since you said goodbye
I felt so all alone
Every time it rains
Summer showers soak the ground
I watch the rain come pouring down
I call out your name

Every time it rains
I hang my head and want to die
I don't seem to care that I'm
Just not making it on my own
Every time it rains

Sometimes late at night
I close my eyes
And pretend that you're here with me
Every time it rains
I realize just how lonely my life is gonna be

Every time it rains
Every time I hear the raindrops fall
I may say I don't mind it at all
But I do

Every time it rains
Every time I try to tell myself
That in time I'll find somebody else
But it won't be you
Every time it rains
Every time it rains",sad
TRBFSKB128F145C5B1.h5,VHS Or Beta,Forever,2004,"Forever (baby)

Forever all night long",happy
TRBBQPP128F92EE611.h5,Bob Marley & The Wailers,Three Little Birds,2007,"Don't worry about a thing
'Cause every little thing gonna be all right.
Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right!

Rise up this mornin'
Smiled with the risin' sun
Three little birds
Pitch by my doorstep
Singin' sweet songs
Of melodies pure and true
Sayin', (""This is my message to you-ou-ou:"")

Singin': ""Don't worry 'bout a thing
'Cause every little thing gonna be all right.""
Singin': ""Don't worry (don't worry) 'bout a thing
'Cause every little thing gonna be all right!""

Rise up this mornin'
Smiled with the risin' sun
Three little birds
Pitch by my doorstep
Singin' sweet songs
Of melodies pure and true
Sayin', ""This is my message to you-ou-ou:""

Singin': ""Don't worry about a thing, worry about a thing, oh!
Every little thing gonna be all right. Don't worry!""
Singin': ""Don't worry about a thing"" - I won't worry!
""'Cause every little thing gonna be all right.""

Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right"" - I won't worry!
Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right.""
Singin': ""Don't worry about a thing, oh no!
'Cause every little thing gonna be all right!",happy
TRAFQFD128F9343706.h5,Diesel Boy,Pocket Full Of Stars,2001,put me in a rocketship and send me straight to mars i'll bring you back a pocket full of stars shoot me thru the ozone layer somewhere off the charts the world is theirs but the rest of it is ours dream with me the trip is always free take my hand and leave this world for awhile hop aboard my astral plane it should be quite a ride we'll buzz the eiffel tower and the english countryside into the sun I'll dip my wing and fly back four hundred years to give to you a sonnet penned by shakespeare dream with me the trip is always free take my hand and leave this world for awhile,happy
TRAFSAP128E0780ECF.h5,Wang Chung,Dance Hall Days,1983,"Take your baby by the hand
And make her do a high handstand
And take your baby by the heel
And do the next thing that you feel

We were so in vies
In our dance hall days
We were cool on cries

When all you
And everyone we knew
Could believe, do
And share in what was true
I said, ""Dance hall days love""

Take your baby by the hair
And pull her close and there, there, there
And take your baby by the ears
And play upon her darkest fears

We were so in vies
In our dance hall days
We were cool on cries

When all you
And everyone we knew
Could believe, do
And share in what was true

I said, ""Dance hall days love""
Dance hall days
Dance hall days love

Take your baby by the wrist
And in her mouth an amethyst
And in her eyes two sapphires blue
And you need her and she needs you

And you need her and she needs you
And you need her and she needs you
And you need her and she needs you
And you need her and she needs you

We were so in vies
In our dance hall days
We were cool on cries

When all you
And everyone we knew
Could believe, do
And share in what was true

I said, ""Dance hall days love""
Dance hall days love
Dance hall days
Dance hall days love

Dance hall days
Dance hall days love
Dance hall days
Dance hall days love",happy
TRANYYX128F4276EE3.h5,Wyclef Jean,Something About Mary,2000,"Yo, I'm a dedicate this to everybody that was at Woodstock '99
DMX, Limp Bizkit, Sheryl Crow amongst many
Yo, just before I got on stage this chick came on to me
She offered me somethin', it looked kinda strange, it was in a bag
I said, ""Yo, girl let me talk to you real quick""
Yo

I don't sniff cocaine
'Cause it mess up my brain
For sexual stimulation, I never did no ecstasy
I don't pop pills, I never did no LSD
but I wouldn't mind a kiss from Mrs. Mary
'Cause

She's homegrown and you can hold her in her backyard
She's homegrown and you can get a kiss in her backyard

I remember when I was a young boy
I went to my granddad, said, ""Daddy can I get a puff?""
He looked at me, he says, ""Son, man, you're too young kid
When you get older now and you understand that""
I let you get one kiss from Mrs. Mary""
'Cause

She's homegrown and you can grow her in her backyard
She's homegrown and you can hold her in her backyard
If she allows you to, you can roll her up
She's homegrown and you can kiss her in her backyard

She's homegrown, I like to be with you Mrs. Mary, in your backyard
That's when she looked at me and she said
""Wyclef this's what I want you to do son""

Come on
Inhale, exhale
Exhale, inhale
Inhale, exhale
Now hold it now

Inhale, exhale
Inhale, exhale
Exhale, inhale
Now breathe in my face

Marijane, Marijane

She said that
""She's homegrown and you can grow her in her backyard""
""She's homegrown,"" she said, ""'Clef, I'll kiss you in my backyard""
And my daddy don't need to know, she said that
""I'm homegrown and you can grow me in your backyard
I'm homegrown and you, don't need to worry for my backyard""

That's when I said, ""I'ma get in trouble, I gotta go girl""
This's what she said
""Laa la-laa laa laa, strictly la-la,"" to take me higher and higher
""Laa la-laa laa laa, strictly la-la,"" to take me higher and higher
  (Flashback)
""Laa la-laa laa laa, strictly la-la,"" to take me higher
  (I feel like Sly, in the family Stoned)

(I'm about to take you higher)
Come on y'all
(I'm about to take you higher)
Come on y'all, come on
(I'm about to take you higher)
Yo, I want for anybody sleeping on my guitar skills
  (I'm about to take you higher)
It's about to beat on right about now
Turn my guitar up yo

What up Jimi Hendrix, I'll see you baby
Yo, Carlos Santana, thanks for the lessons baby
Yo, Steve Rod, I ain't forgettin' you man
To the godfather B.B. King
And to my man Eric Clapton, uh
I think I'm forgettin' somebody, man
The Artist, ha-haa
Yo, Jerry Wonder, man
You're playin' that bass like Bootsy Collins, man
Don't hurt 'em baby boy",happy
TRAKOBG128F9344340.h5,Carl Smith,Loose Talk,1990,"So long we've been married, life's burdens we carried
Though they kept us humble and made our love true
The plans that we made up, someone seems to break up
Oh, darlin', what else can we do?

We may have to leave here to find peace of mind, dear
Some place where we can live a life all our own
For I know you love me and happy we could be
If some folks would leave us alone

While I go out walkin' there's lots of loose talkin'
They say we're unhappy and we'll break apart
But, darlin', it's not true because I still love you
And I do with all of my heart

We may have to leave here to find peace of mind, dear
Some place where we can live a life all our own
For I know you love me and happy we could be
If some folks would leave us alone

They say you are leavin', that you are deceiving
But you tell me they say the same about me
But we'll show them they're wrong that loose talk will do harm
And hope that the truth they will see

We may have to leave here to find peace of mind, dear
Some place where we can live a life all our own
For I know you love me and happy we could be
If some folks would leave us alone",happy
TRBDJNF12903CE6967.h5,Melissa Auf der Maur,The Key,2010,"Everyone knows it
We all can feel it
There's one person out there
That leads you to freedom
It's time to find the key that leads you to me
Do you know?
Do you know?
Do you know what I've found? Do you want?
do you want?
do you want to share it?
The way
The way
To use it
Everyone knows it
We all can feel it
There's one person out there
That leads you to freedom
And it's time to find the key that leads you to me Your destiny
The key,
The key,
The key, it finds you

Be sure,
Be sure,
Be sure, to use it
It twists, it turns, it burns, it bruises
Everyone knows it
We all can feel it
There's one person out there
That leads you to freedom
And it's time to find the key that leads you to me
Everyone knows it
We all can feel it
There's one person out there
That leads you to freedom
And it's time to find the key that leads you to me
Your destiny...
Everyone knows it
We all can feel it
There's one person out there
That leads you to freedom",sad
TRACTLX128F42A51F6.h5,Matisyahu,Exaltation,2004,"Heavens rejoice and the earth will exalt
Oh no, come swing back like a catapult
The sea and its fullness will roar
He is our help and our shield our soul yearns for the lord
Burning G-d of Yaacov everlasting stronghold
Break down the door I can't hold back no more
Wait all night long, until the early morning
Like night watchmen wait for the dawning

Exaltation, my G-d of salvation
The field and there in will be filled with jubilation
The Lord's name will be proclaimed
Exaltation, my G-d of salvation
The field and there in will be filled with jubilation
The Lord's name will be proclaimed

Arise, be our help
Place my trust in your kindness
It's a must hoping in the G-d of deliverance
Since way back when before time began
Existing eternally, everlasting
Rejoice in the name of his majesty so we sing

Exaltation, my G-d of salvation
The field and there in will be filled with jubilation
The Lord's name will be proclaimed
Exaltation, my G-d of salvation
The field and there in will be filled with jubilation
The Lord's name will be proclaimed

Chant sweet melodies, utter hymns
And sing praise to the king for he's alone exalted holy
Performing mighty deeds and making new things
Sowing righteousness and creating healing
He spoke, the world came into being
Master of praise, renews each day
Redeems and saves, continuously blessed is his name
Making great lights, creating luminaries, abounding in mercy
Won't you grant me? Understanding to perceive all the teachings
In your Torah of love, existing eternally, lead me

Exaltation, my G-d of salvation
The field and there in will be filled with jubilation
The Lord's name will be proclaimed
Exaltation, my G-d of salvation
The field and there in will be filled with jubilation
The Lord's name will be proclaimed

Chant sweet melodies, utter hymns
And sing praise to the king his majesty
[Foreign Content]",happy
TRALTKQ128F932DA67.h5,Atari Teenage Riot,Revolution Action,1999,"Atari Teenage Riot
60 Second Wipe Out
Revolution Action
Action!
Come on! go!
It's time to live and it's time to die! (x3)
It's time to live - revolution action!
What we gonna go for? what we gonna go for?
What we gonna go for? revolution action!
What we gonna go for? what we gonna go for?
What we gonna go for? revolution action!

Welcome to step one - i can't wait no longer -
Let's make it happen!
Another investigation of our generation!
Sublime information!
The collapse of a century!
I'm targeted at the whitehouse
Like a bullet from a gun! waste my life from scratch
But at least we will leave a bad taste in your mouth!
Dope - fly - fly - don't take it!
Take it out too far and i won't fake it!
A blank promise - your words -
Nothing else than another hell ride
We got to!

Revolution action! what we gonna go for? (x3)
Revolution action!
Revolution - action (x4)
We got to, got to....
Are you ready?

A shoot - a pain - with the knife between my teeth
And then i leave you in cold blood! i'm comin' at ya!
I'm comin' at ya! carl crack like a flamin' arrow!
Burning the regime of terror!
Comin' at ya! comin' at ya!
With a gun pointed at my head -
I realise what i could get instead!

What we gonna go for? (x3)
Revolution action!
What we gonna go for? (x3)
Revolution action!
What we gonna go for? revolution action!
What we gonna go for? revolution action!

Many people are in power but none of them is one of us -
Press and media any hour - now tell me -
What's wrong with us?
In the lion's throat i stand and i wanna know!
Surrounded by me and my gang - your life just blows!
Break into the center where your heart goes!
You hold the cigarette like your trying to understand
But what if the next person near you
Is taking the truth out of your hands?

Revolution action! (x3)
What we gonna go for? action!
In ain't self destruction! it ain't self destruction!
Revolution action!",happy
TRAKKTE128F934B0D9.h5,THE CHIFFONS,One Fine Day,1963,"One fine day, you'll look at me
And you will know our love was meant to be
One fine day, you're gonna want me for your girl

The arms I long for will open wide
And you'll be proud to have me right by your side
One fine day, you're gonna want me for your girl

Though I know you're the kind of boy
Who only wants to run around
I'll keep waiting and someday darling
You'll come to me when you want to settle down

One fine day, we'll meet once more
And then you'll want the love you threw away before
One fine day, you're gonna want me for your girl

One fine day, you're gonna want me for your girl
One fine day, you're gonna want me for your girl
One fine day, you're gonna want me for your girl",happy
TRBGZKO128F92DB016.h5,Bloc Party,Zephyrus,2008,"Backwards, forwards but making no ground at all
Standing in the city with the clocks counting one
And your face is still wet from the night before
As your tears hit the ground blue flowers spring from them
Baby, I'm ashamed of the things I put you through
Baby, I'm ashamed of the man I was for you

And all you said in your quietest voice was
I needed you as much as they do
And all you said in your quietest voice was
I needed you as much as they do

How fast must we run
Before we can just take off in flight?
How far must we run
Before they do not recognize us?

So let's take this from the start
You'll be me and I'll be you
And let's try not to complain about your smoking
And my distant heart, and my distant heart, and my distant heart

And all you said in your quietest voice was
I needed you as much as they do
And all you said in your quietest voice was
I needed you as much as they do

Too many mirrors in this house
And I don't like to see myself like this
I'm becoming the man I used to be
I guess these walls could tell you a thing or two
Things that you really don't want to know
Lend me your eyes for your point of view
Lend me your feet and I'll stand by you

And all you said in your quietest voice was
I needed you as much as they do
And all you said in your quietest voice was
I needed you as much as they do",sad
TRBAKJC128F93399FB.h5,Bukka White,Sleepy Man Blues,1940,"When a man gets trouble in his mind
He wanna sleep all the time
When a man gets trouble in mind
He wanna sleep all the time
He knows, he can't sleep all the time
He's trouble won't worry mind, won't worry his mind

I'm feelin' worried in mind
And I'm tryin-a keep from cryin'
I'm feelin' worried in mind
And I'm tryin-a keep from cryin'
I am standin' into sunshine
To keep from weakin' down, keep from weakin' down

I want somewhere to go
But I hate to go to town
I want somewhere to go
To satisfy my mind
I would go to town
But I hate to stand around, hate to stand around

I wonder what's the matter with my right mind?
My mind keep me sleepin' all the time
I wonder what's the matter with my right mind?
My mind keep me sleepin' all the time
But when I had plenty of money
My friend would come around, would come around

If I had my right mind
I would write my women a few lines
If I had my right mind
I would write my women a few lines
I will do most anything
To keep from weakin' down, keep from weakin' down",sad
TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came,2005,"When you say it's dead and gone, yes, I know you're wrong
Cut and slash, sharpest knife, it won't die
Poison cup, drank it up, it won't die
No fire, no gun, no rope, no stone, it won't die

Why you gotta shove it in my face?
As if you put me in my place
'Cause I don't care if you or me is wrong or right
Ain't gonna spend another night in your bed, in your bed

Laws of man, are just pretend, they ain't mine
Love so good, love so bad, it won't die
Some talk too long, they know it all, I just smile and move on
Words ain't free like you and me, I don't mind

Why'd you have to be so mean and cruel?
The dogs are loose I'm on to you
You ball and chained together from the dawn to dusk
Can't call it leavin', 'cause it's just, I never came

I never came, I never came, I never came
I never came, I never came, I never came",sad
TRAKDMK128F92F9AFC.h5,The Tragically Hip,Country Day,2009,"Country day, a day in the unknown
A gentle breeze gently blown, country day
Country day, another day in the unknown
I can feel it in my bones, country day

Where mister misses smoke
And things are finally clicking
Still having trouble with the things that are meaningful
But yeah, really clicking

Our dreams are where we're at
Where we can see and touch
With work we understand
But we don't want for much

Country day, a day in the unknown
A gentle breeze gently blown, country day
Country day, another day in the unknown
I can feel it in my bones, country day

You infiltrate my life
You resonate with meaning
I wrote I love you on a rock one night
Threw it never dreaming

Now our dreams are where we're at
What we can feel and touch
It's work we understand
But we don't want for much

Country day, a day in the unknown
A gentle breeze gently blows, country day
Country day, another day in the unknown
I can feel it deep in my bones, country day

And that rock it missed your head
Though it didn't miss by much
I remember what you said
No I mean it, I am touched and somehow it is enough

So God keep our land
'Cause we certainly can't
Until the darkness ends
Until the sun dries again

Our dreams are where we're at
What we can smell and touch
Work we understand
We don't want too much

Country day, a day in the unknown
Where they'd been, where we're going, country day
Country day, another day in the unknown
Gently drawn to a close, country day

Country day, country day
Country day, country day
Country day, country day
Country day, country day",happy
TRAIELD128F92DC682.h5,Kings Of Leon,Genius,2003,"Everybody wants to be a showman
Yeah they all got another one
Everybody thinks they got a genius
Everybody got me on the run
Sometimes I think they come here
Just so you can say that you can
And I can't get alone in my bathroom
I need to give myself a hand

Ya'll cuh-cuh-cuh-creepin'
Creepin' underneath my skin
Fuck you and your flashbulbs
Snappin' my picture again
You drank all my whiskey
You stole all my smoke
And you're crowded all around me
Like I got nowhere to go

Eyes are gonna roll back
I'm here to kill
Time for you to go
I'm-a-gon' spill
It ain't yo fast train
I'll be the king runnin' near the wheel
I ain't lookin' to make no deals here no

You keep stickin' to me
Like a prickly porcupine
You're gettin' your information
From the grocery checkout line
Are you through confessin'
Of your little girl obsession
'Cause I was only messin'
And I had a little time

Eyes are gonna roll back
I'm here to kill
Time for you to go
I'm-a-gon' spill
It ain't yo fast train
I'll be the king runnin' near the wheel
I ain't lookin' to make no deals here no

Eyes are gonna roll back
I'm here to kill
Time for you to go
I'm-a-gon' spill
It ain't yo fast train
I'll be the king runnin' near the wheel
I ain't lookin' to make no deals here no, no, no, no, no

Eyes are gonna roll back
I'm here to kill
Time for you to go
I'm-a-gon' spill
It ain't yo fast train
I'll be the king runnin' near the wheel
I ain't lookin' to make no deals here no",happy
TRAGCTZ128F4290974.h5,Restless Heart,That Rock Won't Roll,1986,"Every little move she makes,
Is gonna catch somebody's eye.
You ought to see all the double-takes,
When she goes walkin' by.
But she's so distant.
She seems so cold.

Everybody says that rock won't roll.
They say the girl's got a heart of stone.
That rock won't roll,
Oh, but she's too pretty to be alone.
I've got all this love inside me,
And I've just got to see,
If that rock won't roll.

I'll give her everything I've got,
I'm gonna change her point of view.
I'll keep tryin' and I won't stop,
Until the love in her eyes shines through.
When I show her,
This heart of gold.

Then we'll see if that rock won't roll,
They say the girl's got a heart of stone.
That rock won't roll,
Oh, but she's too pretty to be alone.
I've got all this love inside me,
And I've just got to see,
If that rock won't roll.

Instrumental Break.

I've got all this love inside me,
And I've just got to see,
If that rock won't roll.

Oh, she's so pretty,
But that rock won't roll.
Oooh, and I've just got to see,

To Fade.

If that rock won't roll.
That rock won't roll.
I just can't believe that rock won't roll.",sad
TRBGEGB128F9345BD0.h5,Cece Winans,Come On Back Home,1998,"Since the beginning you knew
He's been with you
You were raised in the church
So you know I'm tellin' the truth

Livin' like you don't know right from wrong
Tellin' yourself you're okay
God's word is always right
Just admit you've left the way

So I'm here to tell ya, it doesn't matter
What you've done or where you been
Just fall on your knees, confess
And He will forgive your sins

Come on back home
You've been away too long
God has been good to you
He's brought you through and through

Why can't you see the signs?
We're living at the end
Jesus is coming soon
Don't wait too late my friend

Just surrender and stop the fight
Go head and throw in the towel
Why run from love any longer
When you're almost out of time

Let him restore you
And break up that fallow ground
All power is in His hands
To turn your whole life around

Let Him in your heart
The choice is yours
You don't have to be ashamed

Come on back home
You've been away too long
God has been good to you
He's brought you through and through

Why can't you see the signs?
We're living at the end
Jesus is coming soon
Don't wait too late my friend

Please don't ignore
The knocking at your door
Let him in your heart
He'll forget the past and give a fresh new start

And this time hold on, don't let Him
Don't let Him, don't let Him go
He wants to wash you and fill you
And heal you and love you like

Come on back home
You've been away too long
God has been good to you
He's brought you through and through

Why can't you see the signs?
We're living at the end
Jesus is coming soon
Don't wait too late my friend",sad
TRAQHAK128F425EDD8.h5,Beyoncé,Ring The Alarm,2006,"Ring the alarm, I been through this too long
But I'll be damned if I see another chick on your arm
Won't you ring the alarm? I been through this too long
But I'll be damned if I see another chick on your arm

She gon' be rockin' chinchilla coats
(If I let you go)
Get in the house off the coast
(If I let you go)
She gon' take everything I own
(If I let you go)
I can't let you go, damn if I let you go

She gon' rock them VVS stones
(If I let you go)
Get in the 'Bach or the Rolls
(If I let you go)
She gon' profit everything I taught
(If I let you go)
I can't let you go, damn if I let you go

Tell me how should I feel when I know what I know
And my female intuition tellin' me you a dog
People told me 'bout the flames I couldn't see through the smoke
When I need answers, accusations, what you mean you gon' choke?

You can't stay, you gotta go
Ain't no other chick spendin' your dough
This is takin' a toll, the way the story unfolds
Not the picture perfect movie everyone would've saw

She gon' be rockin' chinchilla coats
(If I let you go)
Get in the house off the coast
(If I let you go)
She gon' take everything I own
(If I let you go)
I can't let you go, damn if I let you go

She gon' rock them VVS stones
(If I let you go)
Get in the 'Bach or the Rolls
(If I let you go)
She gon' profit everything I taught
(If I let you go)
I can't let you go, damn if I let you go

Ring the alarm, I been through this too long
But I'll be damned if I see another chick on your arm
Won't you ring the alarm? I been through this too long
But I'll be damned if I see another chick on your arm

Tell me how should I feel when you made me belong
And the thought of you just touchin' her is what I hate most
I don't want you, but I want it and I can't let it go
To know you give it to her like you gave it to me, come on!

He's so arrogant and bold
But she gon' love that shit, I know
I done put in a call, time to ring the alarm
'Cause you ain't never seen a fire like the one I'ma cause

She gon' be rockin' chinchilla coats
(If I let you go)
Get in the house off the coast
(If I let you go)
She gon' take everything I own
(If I let you go)
I can't let you go, damn if I let you go

She gon' rock them VVS stones
(If I let you go)
Get in the 'Bach or the Rolls
(If I let you go)
She gon' profit everything I taught
(If I let you go)
I can't let you go, damn if I let you go

Ooh, how can you look at me
And not see all the things that I kept only just for you?
Ooh, why would you risk it babe is that the price that I pay?

Ooh, but this is my show, and I won't let you go
All has been paid for, and it's mine!
How could you look at me and not see all the things?

She gon' be rockin' chinchilla coats
(If I let you go)
Get in the house off the coast
(If I let you go)
She gon' take everything I own
(If I let you go)
I can't let you go, damn if I let you go

She gon' rock them VVS stones
(If I let you go)
Get in the 'Bach or the Rolls
(If I let you go)
She gon' profit everything I taught
(If I let you go)
I can't let you go, damn if I let you go",sad
TRBIBLJ12903CCF436.h5,Madonna,Papa Don't Preach,1986,"Papa, I know you're going to be upset
'Cause I was always your little girl
But you should know by now
I'm not a baby

You always taught me right from wrong
I need your help, Daddy, please be strong
I may be young at heart
But I know what I'm saying

The one you warned me all about
The one you said I could do without
We're in an awful mess and I don't mean maybe
Please

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby
Oh, I'm gonna keep my baby, mmm

He says that he's going to marry me
We can raise a little family
Maybe, we'll be all right
It's a sacrifice

But my friends keep telling me to give it up
Saying I'm too young, I ought to live it up
What I need right now is some good advice
Please

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby
Ooh, I'm gonna keep my baby, ooh oh

Daddy, Daddy, if you could only see
Just how good he's been treating me
You'd give us your blessing right now
'Cause we are in love, we are in love
  (In love so)
So please

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby
Ooh, I'm gonna keep my baby, ooh ah

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep

(Papa don't preach)
Oh, I'm gonna keep my baby, ooh
  (Papa don't preach)
Don't you stop loving me, Daddy
  (Papa don't preach)
I know, I'm keeping my baby
  (Papa don't preach)",sad
TRBFIHG128F4289CF9.h5,The Ataris,Make It Last,1997,"Ataris
Anywhere But Here
Make It Last
There's a lot on my mind
So i guess that i'll take it one thing at a time,
Still sometimes i can't help but wonder why...
I sit around all day
And i waste my whole damn life away,
Still thinkin' bout' just what there is to say.
(chorus #1) should i say goodnight???
...got to bed, turn out the fucking light
And leave you shining in the past.
Should i try and forget???
...even though next week it's something i'll regret.
Or, should i try and make it last?
I think about the day
When i felt you'd throw it all away
To try to make me feel like i'm the one.
You were my best friend,
And i never ever thought those days would end
But now it seems like they are gone
(chorus #2) what more can i say???
...i never wanted it to be this way,
And where the hell is yesterday???
...we sure had a blast!
I'm sorry that we're living in the past,
Should we try and make it last?
(repeat chorus #1)",sad
TRAWOHD128F148D176.h5,Rickie Lee Jones,Away From The Sky,1989,"For all that it cost him
He never did complain
The chicken headed man
Feathering the rain

But the last bus is tired
And everybody's gone
The horses are waiting
In the middle of the lawn

Gone for the rodeo
Gone from the tundra, gal
It's after the fair
Is it bleeding out of you?

""Come into my trailer
We'll toast a little bread
Oh look, you've left a hole
Where you laid on my bed"", he said

But you keep what you can keep
When you dive into the deep
There's year after frozen year
That's where I saved you there

Oh, away from the sky
Oh, away from the sky
Oh, away from the sky
Oh, away from the sky

But everybody's gone now
It's after the fair
And the horses are painted
With the waiting of the lawn

You turn the carousel on
When the lights have closed down
And watch your ponies run
Through the middle of town

So there ya go, little gal, there ya go
Gone from the tundra now
It's after the fair
That's where I

Over the fences again
And the vacuums in the hall
And the planes up in the air
That's where I hear you best

Oh, away from the sky
Oh, away from the sky
Oh, away from the sky
Oh, away from the sky",sad
TRBDYIC128F92F1D17.h5,Slum Village,CB4,2000,"Every time you try to do what you can
To get the ass, all it's part of the plan
You settin' it up, you buyin' her stuff
You do it for the love 'cause you bucklin' up

Mac Nicholas, muh-fuck ready to
The S genuine, you envision the grind
She's already wit it, you just wanna dine
See now I'm going for mine plus to tell the truth y'all

It's been a long time, this chick, got me settin' up the abeyance
If you ask me, yo it's time to get down
I turn up the music, get some bass in my sound
Quick dash to the bathroom cologne me down

Now, it's time to react
Back on the scene that's, Mack Nicholas mack
Tell her the place to be is the place where she's at
She's feelin' relaxed, my hands on her

I'm feelin' up this chick I'm feelin' up her flap jacks
Got a page from her girl said let me call Shaine back
Shaine said, ""I had to leave the kids back at the flat girl""
So she just pull up the, had to go and that's wack

Yo check it out yo, follow
Fellatio, interference, promiscuous, homosapiens
Come on
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference, promiscuous, homosapiens

You shouldn't a gave me a, in the first place
You should have put up the guard, since the first date
I know that it's hard but it's not the worst case
I told you straight from the starts that I was thirsty
For more than just one or two, shit, two or three
Can do much more than just one could do

Listen, it's good for ya health 'cause you know
I ain't the one to repeat myself, repeat myself
Repeat myself, repeat myself, repeat myself
Yo yo, why you playa hatin'?
I knew it was a reason for the separation
Girl said you told her that I was a super

See, I ain't even know that you could stoop so low
What the fuck you over here fo' what?
The girl she in the room what, there's the door
I'll tell her that you came and that you said, ""Hello""
Word up

Fellatio, interference, promiscuous, homosapiens
Come on
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference, promiscuous, homosapiens

I wonder what happened to my nigga, cock block
I hate to see ya young Ox but up in a box
He became a dread 'cause he had a lock
On the flock in the place all on my jock 'cause I had grace

Told cock block he could hop many women
Upon them never ever release your semen
Upon them is a materialized demon
Illustrious, succubus, do not trust
She see you when you coming, she know you wanna bust

Now she got you sippin' on the clitoris, juice
Some of them juices is poisonous, juice
Shoulda took notes when the master spoke
Places in the pussy, you can provoke
You got what you want, your soul is ghost, ghost, ghost, ghost

Fellatio, interference, promiscuous, homosapiens
Come on
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference, promiscuous, homosapiens
Fellatio, interference",sad
TRBCANP128F92FA6B9.h5,Evanescence,Good Enough,2006,"Under your spell again.
I can't say no to you.
Crave my heart and it's bleeding in your hand.
I can't say no to you.

Shouldn't have let you torture me so sweetly.
Now I can't let go of this dream.
I can't breathe but I feel...

Good enough
I feel good enough for you.
Drink up sweet decadence.

I can't say no to you
And I've completely lost myself, and I don't mind.
I can't say no to you.
Shouldn't have let you conquer me completely.

Now I can't let go of this dream.
Can't believe that I feel...
Good enough

I feel good enough.
It's been such a long time coming, but I feel good.
And I'm still waiting for the rain to fall.
Pour real life down on me.
'Cause I can't hold on to anything this good enough.
Am I good enough for you to love me too?
So take care what you ask of me
'cause I can't say no.",sad
