file,artist,title,year,lyrics
TRAISNF128E078B72C.h5,John Williams,Escape From The City,0,"Whoooo
Oh Yeah!
Rolling around at the speed of sound,
Got places to go, gotta follow my rainbow.
Can't stick around, have to keep moving on,
Guess what lies ahead, only one way to find out!
Must keep on moving ahead,
No time for guessing, follow my plan instead.
Trusting in what you can't see,
Take my lead i'll set you free.

Follow me, set me free,
Trust me and we will escape from the city.
I'll make it through, follow me.
Follow me, set me free,
Trust me and we will escape from the city.
I'll make it through prove it to you.

Follow me!
Oh yeah!

Danger is lurking around every turn,
Trust your feelings, got to live and learn.
I know with some luck that i'll make it through,
Got no other options, only one thing to do!
I don't care what lies ahead,
No time for guessing, follow my plan instead.
Find the next stage, no matter what that may be.
Take my lead, i'll set you free.

Follow me, set me free,
Trust me and we will escape from the city.
I'll make it through, follow me.
Follow me, set me free,
Trust me and we will escape from the city.
I'll make it through through, prove it to you.

Follow me!
Follow me!
I'll make it through
Oh yeah!"
TRAISYU128F427F486.h5,Frankie J,Gone,2005,"Damn... I miss you
MMM... ooh

I toss and turn... it's so hard for me to sleep
I guess I'm no used to being alone... yeah
And I know it's because of me
And I'm trying to face this reality
Past relations they've made me into this man that I am
Knowing now that it's wrong
It's too late cuz she's gone

Gone... gone... gone
Don't think she's ever coming back
It's killing me
That I let her heart down completely
I should've gave her all of me
She's gone
Gone... gone... gone
She ain't even thinkin' 'bout me honestly
Being strong to carry on ain't easy
Gotta face it she's gone... gone

This house is cold
It's like doing time in the pen
Wondering where she is and who she with... yeah
But the hardest thing is there's no one else to blame but me
So I guess I have to take it like a man
But I don't know if I'll ever love again
yeah... yeah

Cuz this pain I'm feeling inside is like a hollow point through my heart
I know that it's kinda crazy
But I feel like I'm falling apart
Usually I'm so cool, but I lost it when
She walked away
Lost without her... and she's gone

Gone... gone... gone
Don't think she's ever coming back
It's killing me
That I let her heart down completely
I should've gave her all of me
She's gone
Gone... gone... gone
She ain't even thinkin' 'bout me honestly
Being strong to carry on ain't easy
Gotta face it she's gone... gone

Without some kind of intervention
I can't go on another day... oh
And I can't even bare to mention
The very sound of her name
Without the sky turnin into clouds
Without the rain falling down
Falling down... again... again
I can't face the fact that she's gone

Gone... gone... gone
Don't think she's ever coming back
It's killing me
That I let her heart down completely
I should've gave her all of me
She's gone
Gone... gone... gone
She ain't even thinkin' 'bout me honestly
Being strong to carry on ain't easy
Gotta face it she's gone... gone"
TRAITHR128F42B7E26.h5,Rubyhorse,The  First Of The Year,2002,"Just a year away
And nothing stays the same
But the rain and the grey you wake up to
And you'll try
In the only way you know to cover it up
Words give it all away
When there's nothing to say

I know it's hard to let it all go
Outgrow the colours
The shades
Some they might say I'm raining on my own parade

The first holiday
And I don't want to stay
And I don't know where I'm going home to
It's all change
And I'm still insane
I'm walking on water in shoes that can't stop the rain
Going under again

I know it's hard to let it all go
Outgrow the colours
The shades
Some they might say I'm raining on my own parade

But I'm just a kid
Trying to entertain all the hits and the missus
I get empty with all that I give
All kinds of angels have my blood to spill

From the first of the year."
TRAITRS128F9308142.h5,Marcie Blane,Bobby's Girl (Previously Unreleased Demo - Stereo),0,"(You're no a kid anymore,
you're not a kid anymore)
When people ask of me
what would you like to be,
now that you're not a kid any more?
(You're not a kid anymore)
I know just what to say,
I answer right a away.
There's just one thing
I've been wishing for.
I wanna be Bobby's girl,
I wanna be Bobby's girl.
That's the most important thing to me.
And if I was Bobby's girl;
if I was Bobby's girl,
what a faithful, thankful girl I'd be.
Each night I sit at home
hoping that he will phone,
but I know Bobby has someone else.
(You're not a kid anymore)
Still in my heart I pray,
there soon will come the day
when I will have him all to myself.
I wanna be Bobby's girl,
I wanna be Bobby's girl.
That's the most important thing to me.
And if I was Bobby's girl;
if I was Bobby's girl,
what a faithful, thankful girl I'd be,
what a faithful, thankful girl I'd be.
I wanna be Bobby's girl,
I wanna be Bobby's girl."
TRAITXM128F428E1F0.h5,Elizabeth Cotten,Freight Train,1958,"Freight train, freight train, run so fast
Freight train, freight train, run so fast
Please don't tell what train I'm on
They won't know what route I'm going

When I'm dead and in my grave
No more good times here I crave
Place the stones at my head and feet
And tell them all I've gone to sleep

When I die, oh bury me deep
Down at the end of old Chestnut Street
So I can hear old Number Nine
As she comes rolling by

When I die, oh bury me deep
Down at the end of old Chestnut Street
Place the stones at my head and feet
And tell them all I've gone to sleep

Freight train, freight train, run so fast
Freight train, freight train, run so fast
Please don't tell what train I'm on
They won't know what route I'm going"
TRAIUPS128F92F2825.h5,Ensiferum,Into Battle,2004,"We left our homes behind, now we're following the wolves' trail
Through the deepest forests, beneath the stars we ride
I can see the moon glowing red like the blood of warriors
There's a prophecy that tonight many men will die

The fire will burn forever in our passionate hearts
Our destinies are calling us now, oh, oh
We are ready to take their lives

Into battle we ride with Gods by our side
We are strong and not afraid to die
We have an urge to kill and our lust for blood has to be fulfilled
We'll fight 'til the end and send our enemies straight to hell
Straight to hell

Prominent leaders
Cast your swords in the wind as a sign of war
Men, prepare for death
'Cause we might never return, never return

Blood will spill and heads will fall
As the swords sparkle, lights the night
The ground rumbles as we attack
In the throes of rage, we'll fight

The lightning's flash, the thunder's roar
Will petrify the weak
We'll show no mercy, we'll kill them all
We are sworn in the name of steel

Into battle we ride with Gods by our side
We are strong and not afraid to die
We have an urge to kill and our lust for blood has to be fulfilled
We'll fight 'til the end and send our enemies straight to hell

Into battle we ride with Gods by our side
We are strong and not afraid to die
We have an urge to kill and our lust for blood has to be fulfilled
We'll fight 'til the end and send our enemies straight to hell"
TRAIUYZ128F425BD2F.h5,Múm,Nightly Cares,2004,"Skar the fire son
Pet the smiling one
Woo the sleeping one
R' the crying one

H'-hviss my little one
R'-r' my crying one
Ligg-ligg my tired one
Rura sleeping one

Touch a feal, you blind a must
Soft the skin of the warmest rust
Cause nothing blows in the faraway
I go away, go away
Past the hills, past the day

Touch a feal, you blind a must
Soft the skin of the warmest rust
Cause nothing blows in the faraway
I go away, go away
Past the hills, past the day"
TRAIVLC12903CF3A0C.h5,Steel Pulse,Ku Klux Klan,1978,"Walking along just kicking stones
Minding my own business
I come face to face, with my foe
Disguised In violence from head to toe.
I holla and I bawl (Ku Klux Klan)
But dem naw let me go now
To let me go was not dem intention
Dem seh one nigger the less
The better for the show
Stand strong black skin and take your blow
It's the Ku, the Ku Klux Klan
Here to stamp out blackman yah
The Ku, the Ku Klux Klan heh!
To be taught a lesson not to walk alone
I was waiting for the Good Samaritan
But waiting was hopeless
It was all in vain
The Ku Klux Klan back again
I holla and I bawl (Ku Klux Klan)
Dem naw let me go now
Dem seh one nigger the less
The better the show
Stand strong blackskin and take your blow
The Ku, Ku Klux Klan
Rape, lynch, kill and maim
Things can't remain the same yah no!

Blackman do unto the Klan
AS they would do to you
In this case hate they neighbour
Those cowards only kill who they fear
That's why they hide behind
The hoods and cloaks they wear
I holla and I bawl, Ku Klux Klan
Dem naw let me go no, Ku Klux Klan
Oh no, oh no...
Here to stamp out black man yah
Rape, lynch, kill and maim
Things can't remain the same yah
No, no, no, no."
TRAIVMM12903CFAD62.h5,Bob Marley,Lively Up Yourself,1991,"You're gonna lively up yourself, and don't be no drag;
You lively up yourself 'cause reggae is another bag.
You lively up yourself, and don't say, ""No"";
You're gonna lively up yourself 'cause I said so!
Hear what you gonna do:
You rock so, you rock so, like you never did before, yeah!
You dip so, you dip so: dip through my door.
You come so, you come so, oh yeah!
You skank so, you skank so: be alive today!

You're gonna lively up yourself, and don't say, ""No"";
You lively up yourself, big daddy says so, y'all!
You lively up yourself, and don't be no drag;
You lively up yourself 'cause reggae is another bag.

What you got that I don't know?
I'm a-trying to wonder - wonder - wonder why you -
wonder - wonder why you act so. Yeah!

Hey, do you hear what the man seh?
Lively up your(self) - your woman in the morning time, y'all!
Wa! Keep a liv'lin' up your woman when the evening come
And take ya* - take ya - take ya - take ya-a-a!
Come on, baby! 'Cause I wanna be lively myself, y'all!

Lively up yourself;
Lively up yourself.
You want to rock so, you rock so:

You rock so, you rock so;
You dip so, you dip so;
You skank so, you skank so, and don't be no drag!
You come so, you come so, for reggae is another bag!

Get what you got in that bag!
What you got in de other bag you got hanging there?
What you say you got?
I don't believe you!"
TRAIVNL128F422CFE2.h5,Buzzcocks,Get On Our Own,1978,"Honey I saw you yesterday
On my way home
Baby I craved for you today
So I decided to phone
So why don't we get together soon
And er get on our own
Just think of what me and you could do
If we get on our own
If we could get on our own
If we could get on our own

Honey I saw you again today
And I er liked what I saw
So why don't meet tonight
Then I could er see a bit more
So how's about we get together soon
Well why be alone
Just think of what me and you could do
If we get on our own
If we could get on our own
If we could get on our own

Just think of it
Me and you
Us together
Yes just we two
Think of all the things
That me and you could do
If we get on our own
If we could get on our own
If we could get on our own
Just me and you
Ah"
TRAIVVQ128F146AB17.h5,Cece Winans,Because Of You,0,"because of who you are I give you glory
because of who you are I give you praise
because of who you are, I will lift my voice and say
lord I workshop you, because of who you are
lord I worship you because of who you are
because of who you are I give you glory
because of who you are I give you praise
because of who you are I will lift my voice and say
lord I worship you because of who you are
lord I worship you because of who you are
yes you are Jehova
Jehova jireh(my provider)
my provider(Jehova nisi)
Jehova nisi (lord you reign)
lord you reign the victory
Jehova shama (you are my prince of peace)
my prince of peace (and I worship you)
and I worship you because of who you are
(Just because just because)
because of who you are
I give you glory
because of who you I give you praise
because of who you are I will lift my by voice and say, lord I worship you
because of who you are
lord I worship you because of who you are
you see you are jehova
Jehova jireh (my provider)
my provider (Jehova nisi)
Jehova nisi (lord you reign)
lord you reign the victory (Jehova shama)
Jehova shama (you are my prince of peace, yes you are)
my prince of peace (and I worship you)
and I worship you because of who you are
(not because of what you've done but just because of who are, Jehova Jehova jireh, my provider)
my provider
jehover nisi
lord you reign in victory
Jehova shama(you are my prince of peace)
my prince of peace (yes you are and I worship you)
and I worship you (I was born to worship, I love to worship)
And I worship you
because of of who you are (oooh
I love you lord, I love you lord ooh nobody like you jesus)
and I worship you
because of who you are"
TRAIVZI128F42642DE.h5,Backstreet Boys,Shape Of My Heart,2000,"Baby, please try to forgive me
Stay here, don't put out the glow

Hold me now, don't bother
If every minute it makes me weaker
You can save me
From the man that I've become, oh yeah

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of my heart

Sadness is beautiful, loneliness is tragical
So help me, I can't win this war, oh no
Touch me now, don't bother
If every second it makes me weaker
You can save me from the man I've become

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of my heart

I'm here with my confession
Got nothin' to hide no more
I don't know where to start
But to show you the shape of my heart

I'm lookin' back on things I've done
I never wanna play the same old part
Or keep you in the dark
Now let me show you the shape of my heart

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of my heart

Lookin' back on the things I've done
I was tryin' to be someone
I played my part, kept you in the dark
Now let me show you the shape of

Show you the shape of my heart"
TRAIWNA128F145E2CD.h5,Robert Palmer,Love Can Run Faster,1978,"When you've run out of time for a feeling
You've gotten used to believing in

Love can run faster than you can

Waste no tears over what you are leaving
There's a new love about to begin

Love can run faster than you can

Fall for what replaces the things you were leading to
Love can take a turn when you least expect it to

Me and you, me and you oh oh

Love can run faster than you can
Love can run faster than you can

Take what you get till you get what you want
Don't settle for what you know to be wrong

When you've run out of time for a feeling
You've gotten used to believing in

Love can run faster than you can

Fall for what replaces the things you were leading to
Love can take a turn when you least expect it to

Me and you, me and you

Love can run faster than you can
Love can run faster than you can
Love can run faster than you can
Love can run faster than you can"
TRAIWQJ128F4287A6F.h5,Neon Blonde,New Detroit,2005,"Oh, Jack, Jack, Jack, Jack,
Jackie Lace Back, oh!
Jack, Jack, Jack, Jack.
Oh, Jack, Jack, Jack, Jack,
Jackie Lace Back, oh!
Jack, Jack, Jack, Jack.
I wanna live in the penthouse apartment
Of a condemned building with you.
Yeah, as New Detroit is fucking flooding,
We float around on the skyscraper island.
Oh, Jack, Jack, Jack, Jack,
Jackie Lace Back, oh!
Jack, Jack, Jack, Jack.
We've got a view of the dirty sea rising.
Women float by on rafts made of vulture wings.
So call me the Goddamn wolf at the crystal piano.
Jack, Jack,
Jackie Lace Back, Back 
New, New,
New Detroit's desolate.
Jack, Jack, Jack, Jack, 
Jackie Lace Back, Back.
New, New, New, New,
New Detroit's desolate.
We've got our own undersea nation.
Yes we do!
We've got a private sun and moon.
Yes we do!
We've got faces like a natural disaster.
Yes we do!
Listen to my heart:

Boom, boom, boom, boom.
We've got a view of the end of all the Earth.
Children float by on Coca-Cola billboards.
So call me the Goddamn wolf at the crystal piano.
So call me the Goddamn wolf at the crystal piano."
TRAIWZZ128F9306AFF.h5,Korn,Proud,1996,"Must you keep looking at me
Before you looked the other way
Must you keep glaring at me
I know you look inside and see what you made

You took no pride in me
But now I'm your everything
It's finding out ya own me
Not all of your gloating

Must you keep looking at me
Now you see what I am
Trust, I knew what it was
I don't forget things, thinking I'm nothing

You took no pride in me
But now I'm your everything
It's finding out ya own me
Not all of your gloating

Pride of me
No pride
Why?

Must you keep looking at me
Before you looked the other way
Trust, I knew what it was
I don't forget things, look what you've made

You took no pride in me
But now I'm your everything
It's finding out you own me
Not all of your gloating"
TRAIXFB128F423C5A8.h5,Joy Division,Passover,1980,"This is a crisis, I knew had to come
Destroying the balance I'd kept
Doubting, unsettling and turning around
Wondering what will come next

Is this the role that you wanted to live?
I was foolish to ask for so much
Without the protection and infancy's guard
It all falls apart at first touch

Watching the reel as it comes to a close
Brutally taking it's time
People who change for no reason at all
Happening all of the time

Can I go on with this train of events?
Disturbing and purging my mind
Back out of my duties when all's said and done
I know that I'll lose every time

Moving along in our God given ways
Safety is sat by the fire
Sanctuary from these feverish smiles
Left with a mark on the door

Is this the gift that I wanted to give?
Forgive and forget's what they teach
Or pass through the deserts and wastelands once more
And watch as they drop by the beach

This is the crisis I knew had to come
Destroying the balance I'd kept
Turning around to the next set of lives
Wondering what will come next"
TRAIXJZ12903CEDB1D.h5,The Frantic,Rock & Roll Renegade,0,"When you wake up where you don't belong
In a lame ass town with nothing going on
Nothing to do and nowhere to go
I'd much rather be playing rock n' roll

Take me away
I want to live my life
As a rock and roll renegade
Don't take me home
It's nowhere to me

I'll bring my loved ones with me
I've got something to tell the world
I won't give it up just for a girl
Get me on a plane so I can get away
Because I want to live my life
As a rock and roll renegade

These times out here, they aren't for me
Playing rock 'n roll is where I need to be
Gotta get away and leave it all behind
'Cause rock 'n roll's what I define

Dada, nana
I know I'm right, just wait and see
Rock 'n roll will set me free

So now we're out in Hollywood
Doing everything we said we would
Don't care about a thing in the world
Just gotta find that special girl

Wait a minute
I think I've changed my mind
Renegade till the day I die
Never, never, never, never, never again
I don't need you, I'm my own best friend "
TRAIXQL128F1467D66.h5,Devo,Soo Bawlz,1979,"Pretty mongo, everybody wants her toilet
Same old story she don't let no one near it
The way she teases them it's such a shame
She's got all the huboons cryin' out her name

Soo-bawlz
She's got 'em howling
She's got 'em growling
She's got 'em going clean outta their minds

Ain't a man in town who wouldn't have her for his daughter
They'd all trade their brains for one taste of her toilet water

One, two, three, four
Tell the people what she wore

They run in circles trying to call her up
But her phone's been disconnected since she sold her butt"
TRAIYAT128F931FEA5.h5,The Jets,Curiosity,0,"Ay mima no, no me toque
No me rompa el corazon
Ay mima no, no me rompa
No me rompa el corazon

Ay mima no
No me toque el corazon
Awaniye awaniye awaniye

Ay madre no, no me toque ahi
Que me impone
Que me exige el corazon

Ay madre no
No me toque ahi
No me rompa el corazon

Ay madre no, ay madre no
No me rompa
El corazon, corazon, corazon"
TRAIYDL128E0791583.h5,Rihanna,Music Of The Sun,2005,"Oh, Oh, Oh, Oh, Oh Oh,
Oh, Oh, Oh, Oh yeah
Listen, closely hear the music playing
Let it take you to places far away and

Relax your senses just do what you want to do
No need for questions
It's only for you
And it's so amazing

Oh how you can't escape it
The movement takes you
And never let's you go

Can't you feel the music in the air
Close your eyes let the rhythm take you there
Doesn't matter who you are or where you're from
Come and dance to the music of the sun
Forget about your troubles it's alright
Let them go till we see the morning light
Feel the beat as our bodies move as one
Come and dance to the music of the sun (the sun)
Come and dance to the music of the sun the sun (the sun yeah)

So real
So right
Can't explain the feeling
Like the sunlight brings to life new meaning

No need for stress, (no need for stress)
Save that for another day
No second guessing
Just trust me when I say
And it's so amazing
Oh how you can't escape it
the moment takes you it never lets you Go!

Can't you feel the music in the air
Close your eyes let the rhythm take you there (let the rythm take you there)
Doesn't matter who you are or where you're from
Come and dance to the music of the sun (music of the sun)
Forget about your troubles it's alright
Let them go till we see the morning light (see the morning light)
Feel the beat as our bodies move as one
Come and dance to the music of the sun (come and dance with the music of the sun)
Come and dance to the music of the sun the sun (of the sun"
TRAIYYA128F92E5A59.h5,Tommy Torres,Pegadito,0,"Tommy Torres

Pegadito
el sol calienta
mas de la cuenta
en dÃ­as de invierno

la noche es lenta
es casi eterna
si asi lo quiero

lo agrio es dulce
lo malo es bueno
lo bueno es insuperable

todo se hace facil cuando estas aqui
paseando tu figura en mi cuarto
todo lo que busco lo he encontrado aqui
amarrado a tu cintura. pegadito

pegadito
despacito
asi te quiero

se siente el aire
mas liviano
mas calientito

bajo la luna
nuestro baile
es casi un tren imparable

todo se hace fÃ¡cil cuando estÃ¡s aquÃ­
paseando tu figura en mi cuarto
todo lo que busco lo he encontrado aquÃ­
amarrado a tu cintura. pegadito

pegado al iman de tu pecho
voy dejandome llevar por el vaivÃ©n de tu pelo
me gusta cuando muerdes tus labios
como queriendo decir:
oye tu que estas esperando?

todo es posible cuando estas aqui
paseando tu hermosura en mi cuarto
todo lo que busco lo he encontrado aqui
amarrado a tu cintura. pegadito"
TRAIYZW128F9330F7D.h5,Kanye West,Street Lights,2008,"Let me know, do I still got time to grow
Things ain't always set in stone
With that being, let me know
Let me
Seems like streetlights glowing

Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there in the streets
In the streets
I'm just not there in the streets

I'm just no there

Life's just not fair

Seems like streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and

I paid my fair, see
I know my, destination

But I'm just not there in the streets

In the streets
I'm just not there in the streets

I'm just no there
Life's just not fair
Seems like streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there
All the streetlights glowing
Happened to be just like moments
Passing, in front of me so
I hopped in, the cab and
I paid my fair, see
I know my, destination
But I'm just not there in the streets
In the streets
I'm just not there in the streets
I'm just no there
Life's just not fair
Life's just not fair"
TRAIZQI128F42A51F9.h5,Matisyahu,Refuge,2004,"Ani auni vevyone, hashem yashav li
Ezrati, umafalti, atau

Said if You have been a refuge for me
A tower of strength in the face of the enemy
Enemy, enemy

From the end of the earth unto you I call
Time and again I fall, back to you I crawl
You have been a refuge for me
Tower of strength in the face of the enemy

Enemy lines, enemy lines
Find I let myself get caught too many times, too many times, yeah
I gave you my heart, taking back what's mine
Yeah, you saved my soul from the other side, yeah, oh

From the end of the earth unto you I call
Time and again I fall, back to you I crawl
Said, if you have been a refuge for me
A tower of strength in the face of the enemy

Enemy, enemy, enemy, enemy
Enemy, enemy, enemy, enemy
Yeah, yeah, yeah, yeah, yeah

With you I smash a troop and with my God I leap over a wall
May the king answer you on the day that you call
Stand tall, battle yawl, from the clouds crawl low
Heavens lay draped over New York City like a prayer shawl
Holy one enthroned upon the praises of Israel"
TRAIZRI128F1466316.h5,Bow Wow Wow,Sex,0,"Cuff your chick

It won't take for you to get it up
I got that long stroke I can go deep enough
So come here shawty let me lay you down
and let me show you what I'm all about
Bring your camera we gon' have some fun
and she know Bow got that tornado tongue
I dont think that you can handle it
Shawty can you drive a stick
Drive me outta this world man
and she bad and damn she thick

Do he sex you like this
Do he sex you like that Come on let make love what you trippin' bout
Now don't be scared once I whip it out
She give me head til' I pass out
Pullin on her head tryin not to pull her track out
I know you want it from the back

I know you like it like that
Bitin all over while she scratchin on my back

Do he sex you like this
Do he sex you like that Oh Turn off the lights, the lights, the lights
tu-turn off the lights, the lights, the lights Do he sex you like this
Do he sex you like thatI'm saying, any time you need it then
you can just pick up the phone and call,
and there's no problem cause I

Do he sex you like this (let's go)
Do he sex you like that (that's right)"
TRAJARM128F426379B.h5,Janitor Joe,Boyfriend,1993,"Gimme
Gimme
Gimme here right now
Said can you heal me
Come on to me
Come on here right now
I never had
What I want
Never had it all
So gimme
Gimme
Gimme here right now

Turn the tables around
I haven't got you alone
It's been the talk of the town
I haven't got the balls

Gimme
Gimme
Gimme here right now
Said can you heal me
Come on to me
Come on here right now
I never had
What I want
Never had it all
So gimme
Gimme
Gimme here right now

Turn the tables around
I haven't got you alone
It's been the talk of the town
I haven't got the balls

Gimme
Gimme
Gimme here right now
Said can you heal me
Come on to me
Come on here right now
I never had you
The way I want you
The way I want you now
So gimme
Gimme
Gimme here right now

Turn the tables around
I haven't got you alone
It's been the talk of the town
I haven't got the balls"
TRAJAZP128F4290FF9.h5,Mastodon,Megalodon,2004,"Myth or legend
Nymph tales washed ashore
Near the kraken sleepeth
Stirs coral and bone
Infinite city
No sexy sneer
Hideous creation
Human and animal

Banter songs of rudeness
To be adhered
Not on rocks that glisten
Harps to listen
Comb hair
Tear right to pieces
Left to recess
A watery grave

Sensing the blood of prey

Swimming in fear for life
Rolling over
Falling into jaws
Teeths that chatter
It distracts them all
The Fiji mermaid
She will let it know
Time is coming
To feed and know

Rolling over
Falling into jaws
Teeths that chatter
It distracts them all
The Fiji mermaid
She will let it know
Time is coming
To feed and know"
TRAJAZY12903CDD671.h5,Brenda Boykin,Be My Lover,2008,"Be my Lover, baby, got forever
that's for sure
Be my lover, baby, I will never leave you
and what's more...

Be my Lover
Stick together
Be my lover,
thus us be WRONG
Love is Pure

Ain't no other, baby, who can give you
what I've got
Ain't no other, baby, who can give you
what's in my heart

Be My Lover
Stick together

Be my Lover
this must be WRONG
From the start

I'm your shelter when you're freezing
in the storm
I'm your shelter, In my arms
it's safe and warm

Be my Lover
Stick together
Be my lover
this, i swear, a
Love Forever

..."
TRAJBGL128F145C7A8.h5,Tom Cochrane,Washed Away,1992,"We live out here in the desert
Where time stands still in the face of our foolish pride
We trade our love for ambition
And tell each other we'll get it on back in time

But time moves on like a river
She leaves us all behind
Like a summer rain it all gets washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better let 'em know
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

I watch the wing blow out there
Maybe hear some distant laughter
Look outside the hotel window
And my soul wanders off me

This is the time I'm mentioning
And I won't soon forget that
Your proud beauty lingers on
Until the storm is lifted

Go find your fortune fast
It's cold outside but you'll make it
Don't trade your love for ambition
Or you'll get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better let 'em know
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

Love cliche and you used to tell me
Some things better change, all things won't last
Do the best you can, it'll all work out
At the end of the storm, you get to love another day

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better let 'em know
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

The time we spend as we pass this way
We might not ever be here again
Hold on tight, do what you might
And then we got tomorrow

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away

Round and round and round we go
Where it stops don't no one know
If you find a love you better hold on fast
Or you both get washed away
..."
TRAJBJG128F14A1EA1.h5,Red Hot Chili Peppers,American Ghost Dance (2003 Digital Remastered),1985,"Give me a home
Where the buffalo roam
And the death
Of a race is a game

Where seldom is heard
A peaceable word
From the white trash
Who killed as they came

Though these words dig deep
They offer no relief
God save the queen
I am an Indian Chief

There is a secret I keep
It's called 'The Talking Leaf'
And you better believe
That he speaks his beliefs

Like a rock that bleeds
In a sea of grief
My talking leaf speaks
Of a wounded knee creek

American ghost dance
American ghost dance
American ghost dance
American ghost dance

Today a new man
Who is with old ways
He walks the streets of life
But he's in chains? I'm alive?, he cried
I can feel the flame
Burning red inside
I am an Indian brave

There is a memory
That lives in my blood
Of the brand you laid
On all you touched

But the burning flame
It turns to burning pain
A genuine genocide
And that's truly insane

So like a wild hurricane
I will dance on the grave
Of my race that died
When it should have been saved

American ghost dance
American ghost dance
American ghost dance
American ghost dance

Give me a home
Where the buffalo roam
And the death
Of a race is a game

Where seldom is heard
A peaceable word
From the white trash
Who killed as they came

Though these words dig deep
They offer no relief
God save the queen
I am an Indian chief

There is a secret I keep
It's called 'The Talking Leaf'
And you better believe
That he speaks his beliefs

Like a rock that bleeds
In a sea of grief
My talking leaf speaks
Of a wounded knee creek

American ghost dance
American ghost dance
American ghost dance
American ghost dance

American ghost dance
American ghost dance
American ghost dance"
TRAJBRT128F9303318.h5,Toots Thielemans,Sophisticated Lady,1955,"They say into your early life romance came
And in this heart of yours burned a flame
A flame that flickered one day and died away
Then, with disillusion deep in your eyes
You learned that fools in love soon grow wise
The years have changed you, somehow
I see you now

Smoking, drinking, never thinking of tomorrow, nonchalant
Diamonds shining, dancing, dining with some man in a restaurant
Is that all you really want?
No, sophisticated lady,
I know, you miss the love you lost long ago
And when nobody is nigh you cry

Smoking, drinking, never thinking of tomorrow, nonchalant
Diamonds shining, dancing, dining with some man in a restaurant
Is that all you really want?
No, sophisticated lady,
I know, you miss the love you lost long ago
And when nobody is nigh you cry

Sophisticated lady
You cry"
TRAJCHY128EF349619.h5,Sir Douglas Quintet,She's About A Mover,0,"Well, she was walking down the street
Looking fine as she could be, hey, hey
Well, she was walking down that street
Looking fine as she can be
Well, you know I love you, baby
Wo, yeah, what I'd say

She's about a mover
She's about a mover
She's about a mover
She's about a mover
Hey, hey, hey, hey, what I'd say

She's about a mover
She's about a mover
Well, you know I love you, baby
Wo, yeah, what I'd say, hey, hey

She strolled on up to me
Said, ""Hey, big boy, what's your name?"" Hey, hey
Well, she strolled on up to me
She said, ""Hey, big boy, what's your name?""
If you want love and conversation
Wo, yeah, what I'd say

She's about a mover
She's about a mover
She's about a mover
She's about a mover
Hey, hey, hey, hey, what I'd say

She's about a mover
She's about a mover
If you want love and conversation
Wo, yeah, what I'd say, hey, hey

Well, you know I love you, baby
Wo, yeah, what I'd say, hey, hey
Come on, do it to me, baby
Yeah"
TRAJCJT128F4269E0C.h5,Major Lance,Come See,1963,"Hey, mama, won`t you come and see
What the music has done to me
I just started not so very long
It seems to come out all in song Come now, now or later
Sing the Mashed Potato
My feet going beserk
As I do the New York Jerk
Come see Hey, mama, what you doing now
Won`t you see that I know how
The beat is blasting on the radio
Come see before the miracle Come look and get? As I go back to the old Twist
Gotta do a little dance now? Come see Yeah, yeah, yeah Hey, mama, won`t you come and see
What the music has done to me
I just started not so very long
It seems to come out all in song Come now, now or later
Sing the Mashed Potato
My feet going beserk
As I do the New York Jerk
Come see Yeah, yeah
Come see"
